transaction_id,customer_id,date,region,segment,product,contract_term_months,mrr_usd,csat_score,support_tickets_90d,is_churned
TXN-50000,CUST-11126,2025-06-02,Asia Pacific,Enterprise,Customer 360,24,4289.26,2,3,0
TXN-50001,CUST-10955,2024-03-12,North America,Mid-Market,Cybersecurity Core,12,1715.71,1,2,0
TXN-50002,CUST-10831,2025-01-04,Europe,Small Business,ERP Connect,12,527.92,7,2,1
TXN-50003,CUST-11025,2024-08-21,Europe,Enterprise,Customer 360,12,4237.48,9,5,1
TXN-50004,CUST-10719,2025-11-19,Asia Pacific,Mid-Market,Customer 360,12,1923.7,3,3,1
TXN-50005,CUST-10592,2024-08-05,Asia Pacific,Small Business,ERP Connect,12,388.44,5,3,1
TXN-50006,CUST-10098,2024-03-07,Europe,Mid-Market,ERP Connect,12,1930.19,8,4,1
TXN-50007,CUST-10563,2025-12-02,Europe,Mid-Market,Cloud Analytics Suite,12,1567.76,6,2,1
TXN-50008,CUST-10681,2025-01-01,Asia Pacific,Mid-Market,Cybersecurity Core,12,1650.68,8,1,0
TXN-50009,CUST-10632,2025-08-09,Asia Pacific,Small Business,ERP Connect,12,432.15,6,3,1
TXN-50010,CUST-11136,2025-12-22,North America,Mid-Market,Customer 360,12,1109.24,5,0,0
TXN-50011,CUST-10854,2024-06-24,North America,Small Business,ERP Connect,24,596.82,6,3,1
TXN-50012,CUST-10883,2024-04-19,Latin America,Mid-Market,ERP Connect,12,1622.36,4,0,0
TXN-50013,CUST-10146,2024-10-03,North America,Enterprise,Cloud Analytics Suite,24,5330.85,5,2,1
TXN-50014,CUST-10262,2025-08-22,Europe,Small Business,Cloud Analytics Suite,24,607.54,8,2,0
TXN-50015,CUST-11143,2024-09-18,Asia Pacific,Small Business,Cloud Analytics Suite,12,660.19,8,1,1
TXN-50016,CUST-10877,2025-06-06,Europe,Mid-Market,Customer 360,36,1321.17,5,4,0
TXN-50017,CUST-10562,2025-01-12,Asia Pacific,Mid-Market,Cybersecurity Core,12,1790.9,7,4,0
TXN-50018,CUST-10157,2025-07-01,Latin America,Small Business,ERP Connect,24,584.69,7,2,1
TXN-50019,CUST-10127,2025-10-17,North America,Mid-Market,Cybersecurity Core,24,1922.97,7,3,0
TXN-50020,CUST-11127,2025-01-08,Europe,Small Business,Customer 360,24,519.97,4,2,0
TXN-50021,CUST-10511,2024-06-26,North America,Enterprise,ERP Connect,12,2977.36,5,2,0
TXN-50022,CUST-10569,2024-07-08,North America,Enterprise,Cybersecurity Core,12,2707.62,8,4,0
TXN-50023,CUST-10655,2024-09-12,Latin America,Mid-Market,Cybersecurity Core,12,1953.37,5,3,1
TXN-50024,CUST-11012,2025-03-05,North America,Small Business,ERP Connect,12,811.85,7,5,1
TXN-50025,CUST-11109,2024-07-04,North America,Enterprise,Cloud Analytics Suite,12,4864.48,5,2,0
TXN-50026,CUST-10356,2024-05-12,North America,Mid-Market,Cloud Analytics Suite,36,1800.65,6,9,0
TXN-50027,CUST-11191,2024-01-26,Latin America,Enterprise,Cloud Analytics Suite,12,5180.34,5,0,0
TXN-50028,CUST-10775,2025-03-17,North America,Mid-Market,Cybersecurity Core,24,1575.99,7,5,0
TXN-50029,CUST-11122,2024-04-16,Europe,Mid-Market,ERP Connect,24,1672.02,8,4,0
TXN-50030,CUST-10728,2025-09-20,North America,Small Business,Cloud Analytics Suite,12,647.05,7,2,1
TXN-50031,CUST-10890,2024-03-23,North America,Small Business,Customer 360,24,585.06,2,1,0
TXN-50032,CUST-10732,2025-05-05,North America,Enterprise,Customer 360,24,4581.07,8,2,0
TXN-50033,CUST-10338,2025-07-27,Europe,Small Business,Cybersecurity Core,24,609.93,9,3,0
TXN-50034,CUST-10713,2024-08-01,Latin America,Enterprise,ERP Connect,12,5799.37,7,5,0
TXN-50035,CUST-10933,2025-09-18,Europe,Small Business,Cloud Analytics Suite,36,370.21,1,3,0
TXN-50036,CUST-10046,2024-08-26,Europe,Mid-Market,ERP Connect,36,1476.99,7,3,1
TXN-50037,CUST-10675,2024-04-13,Europe,Mid-Market,Cybersecurity Core,12,2349.3,5,2,1
TXN-50038,CUST-10731,2024-06-01,North America,Enterprise,ERP Connect,24,3311.79,9,1,1
TXN-50039,CUST-10145,2024-01-21,Latin America,Enterprise,Cloud Analytics Suite,24,6148.31,5,2,1
TXN-50040,CUST-10822,2024-04-01,Asia Pacific,Small Business,ERP Connect,24,619.97,7,3,1
TXN-50041,CUST-10880,2025-07-15,Asia Pacific,Enterprise,ERP Connect,12,5226.8,7,6,1
TXN-50042,CUST-10852,2024-04-10,Europe,Small Business,ERP Connect,12,392.3,6,5,0
TXN-50043,CUST-10183,2024-07-23,Asia Pacific,Small Business,Customer 360,12,773.32,10,3,1
TXN-50044,CUST-10847,2025-05-06,North America,Enterprise,Customer 360,12,3822.8,8,5,1
TXN-50045,CUST-10644,2025-08-11,Europe,Enterprise,Cybersecurity Core,12,6006.37,5,1,0
TXN-50046,CUST-10830,2024-10-14,North America,Enterprise,Customer 360,24,3837.23,4,3,0
TXN-50047,CUST-10698,2025-03-19,North America,Small Business,ERP Connect,24,669.54,7,0,0
TXN-50048,CUST-11038,2024-02-15,North America,Small Business,Customer 360,12,472.65,5,3,0
TXN-50049,CUST-10227,2025-05-25,Europe,Mid-Market,Customer 360,24,1564.43,7,4,0
TXN-50050,CUST-10661,2025-08-06,North America,Mid-Market,Customer 360,12,1586.74,3,2,1
TXN-50051,CUST-10467,2025-03-20,Latin America,Small Business,Cybersecurity Core,36,496.32,6,6,0
TXN-50052,CUST-10224,2025-05-23,Asia Pacific,Mid-Market,Cloud Analytics Suite,24,2029.89,3,2,1
TXN-50053,CUST-10171,2025-12-12,North America,Mid-Market,Customer 360,12,1201.85,7,4,0
TXN-50054,CUST-10333,2024-05-05,Latin America,Small Business,Cybersecurity Core,12,610.39,7,3,1
TXN-50055,CUST-10850,2024-01-15,Europe,Mid-Market,Customer 360,12,1743.96,7,6,0
TXN-50056,CUST-10502,2024-11-23,Europe,Enterprise,Customer 360,24,3169.27,3,5,1
TXN-50057,CUST-10288,2025-08-15,North America,Mid-Market,Cybersecurity Core,12,2211.75,8,2,0
TXN-50058,CUST-11180,2025-08-06,Europe,Mid-Market,Customer 360,24,2113.06,7,2,1
TXN-50059,CUST-11157,2025-12-11,Europe,Mid-Market,Cybersecurity Core,24,2288.03,9,1,1
TXN-50060,CUST-11003,2024-06-11,Europe,Mid-Market,Customer 360,12,2233.79,5,1,1
TXN-50061,CUST-10813,2025-09-21,North America,Enterprise,Customer 360,12,5105.18,9,4,0
TXN-50062,CUST-10936,2025-09-07,North America,Mid-Market,Cybersecurity Core,36,1335.61,7,2,1
TXN-50063,CUST-10709,2024-01-20,North America,Mid-Market,Cloud Analytics Suite,24,1333.77,7,0,0
TXN-50064,CUST-10688,2024-08-19,Europe,Small Business,ERP Connect,36,908.8,2,3,1
TXN-50065,CUST-10017,2024-07-07,North America,Small Business,Cybersecurity Core,24,607.11,6,2,1
TXN-50066,CUST-10799,2025-09-15,North America,Small Business,Cybersecurity Core,12,712.28,1,2,1
TXN-50067,CUST-10578,2025-02-07,Asia Pacific,Mid-Market,Customer 360,12,2257.76,4,5,1
TXN-50068,CUST-10329,2024-06-09,North America,Enterprise,ERP Connect,12,4797.29,7,5,0
TXN-50069,CUST-11076,2024-09-08,North America,Small Business,Cybersecurity Core,24,704.4,3,3,0
TXN-50070,CUST-10236,2024-10-04,Europe,Enterprise,Cybersecurity Core,24,4516.59,3,1,0
